Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,30 Day STD,Middle_band,Upper_band,Lower_band
2017-05-15,RBLBANK,EQ,556.55,557.5,564.9,551.1,564.25,563.9,560.31,888219,497674867.95,17580,387382,43.61,5,2017,563.9,0.0,Slight or no change,,,,
2017-05-16,RBLBANK,EQ,563.9,564.8,567.7,559.0,561.6,562.6,562.26,495571,278640917.4,8172,203735,41.11,5,2017,563.4344363667898,-0.23053732931369586,Slight or no change,,,,
2017-05-17,RBLBANK,EQ,562.6,563.0,569.9,558.0,564.7,564.25,563.94,831318,468817558.0,13860,253851,30.54,5,2017,563.7405129682164,0.29328119445430895,Slight or no change,,,,
2017-05-18,RBLBANK,EQ,564.25,559.8,563.0,551.0,553.5,552.15,555.33,1050920,583612037.35,27124,615645,58.58,5,2017,560.0109975174738,-2.1444395214887058,Negative,,,,
2017-05-19,RBLBANK,EQ,552.15,560.95,567.0,551.4,553.8,555.45,558.44,1292735,721910060.6,39632,569809,44.08,5,2017,558.7176288721304,0.5976636783482814,Slight positive,,,,
2017-05-22,RBLBANK,EQ,555.45,557.5,559.95,542.6,545.5,544.85,548.78,676006,370977954.8,13070,285523,42.24,5,2017,556.9267952511372,-1.9083625888918987,Negative,,,,
2017-05-23,RBLBANK,EQ,544.85,546.0,547.4,502.2,522.0,524.5,525.03,1588845,834193700.8,31571,531438,33.45,5,2017,549.3763752682962,-3.7349729283289057,Among top losers,,,,
2017-05-24,RBLBANK,EQ,524.5,524.95,539.7,518.2,526.3,524.35,529.33,1343057,710921387.3,25418,486475,36.22,5,2017,545.260640902517,-0.02859866539560718,Slight or no change,,,,
2017-05-25,RBLBANK,EQ,524.35,527.8,549.45,525.75,548.2,545.6,537.94,1052847,566367161.5,17723,446922,42.45,5,2017,545.299394903291,4.052636597692373,Among top gainers,,,,
2017-05-26,RBLBANK,EQ,545.6,549.4,552.5,505.3,515.6,516.55,521.74,7280565,3798585459.8,92398,3695651,50.76,5,2017,532.6138927573878,-5.324413489736079,Among top losers,,,,
2017-05-29,RBLBANK,EQ,516.55,519.0,527.9,504.0,507.05,508.15,514.44,2977390,1531691905.15,42525,1197065,40.21,5,2017,528.8742623824969,-1.6261736521149928,Negative,,,,
2017-05-30,RBLBANK,EQ,508.15,505.4,514.0,495.85,511.0,509.5,507.62,1418146,719881872.8,21947,333261,23.5,5,2017,527.5593679684722,0.2656695857522484,Slight or no change,,,,
2017-05-31,RBLBANK,EQ,509.5,511.0,537.9,509.9,536.0,527.7,523.48,3068601,1606363621.05,44628,1326531,43.23,5,2017,527.5773757981691,3.572129538763513,Among top gainers,,,,
2017-06-01,RBLBANK,EQ,527.7,533.0,554.25,531.0,549.6,550.1,543.29,3657981,1987343545.05,54169,1189994,32.53,6,2017,530.560024841974,4.244836081106683,Among top gainers,,,,
2017-06-02,RBLBANK,EQ,550.1,552.0,558.0,546.05,550.0,550.85,552.57,1634243,903033424.7,26334,526126,32.19,6,2017,531.6934076232915,0.13633884748227576,Slight or no change,,,,
2017-06-05,RBLBANK,EQ,550.85,552.9,552.9,540.0,542.8,542.95,546.73,761989,416601092.6,14325,286938,37.66,6,2017,531.9791453754431,-1.4341472270127942,Negative,,,,
2017-06-06,RBLBANK,EQ,542.95,543.4,550.8,537.5,541.4,542.8,544.27,1075850,585553292.75,18819,234654,21.81,6,2017,532.3535427026891,-0.027626853301421228,Slight or no change,,,,
2017-06-07,RBLBANK,EQ,542.8,543.0,552.7,539.35,550.3,549.45,545.51,1431120,780683985.8,20354,640881,44.78,6,2017,533.1057880159086,1.225128960943267,Positive,,,,
2017-06-08,RBLBANK,EQ,549.45,551.7,551.85,542.1,542.5,544.65,546.62,1553389,849113252.2,25524,777537,50.05,6,2017,533.6319995057337,-0.8736008736008882,Slight negative,,,,
2017-06-09,RBLBANK,EQ,544.65,543.0,543.7,533.5,536.1,537.6,538.16,1196296,643796053.7,15758,578450,48.35,6,2017,533.7665676496681,-1.2944092536491203,Negative,17.135877068149668,540.8975,575.1692541362994,506.6257458637007
2017-06-12,RBLBANK,EQ,537.6,536.0,536.6,526.3,527.3,527.8,529.86,830261,439924655.8,13310,344417,41.48,6,2017,533.6293633693998,-1.822916666666674,Negative,16.473897016029277,539.0925,572.0402940320586,506.14470596794143
2017-06-13,RBLBANK,EQ,527.8,528.0,533.65,514.25,516.0,516.35,523.52,1508713,789838934.75,27905,541069,35.86,6,2017,532.9362821449594,-2.1693823417961218,Negative,16.244937673010703,536.78,569.2698753460214,504.2901246539786
2017-06-14,RBLBANK,EQ,516.35,517.0,524.7,512.25,517.95,518.1,517.85,1540848,797934364.8,26356,388281,25.2,6,2017,532.3524356830342,0.33891740098770384,Slight or no change,15.39294502617841,534.4725000000001,565.2583900523568,503.68660994764326
2017-06-15,RBLBANK,EQ,518.1,518.5,519.15,510.1,513.45,514.0,514.81,897817,462208374.45,15822,356387,39.69,6,2017,531.9410497430048,-0.7913530206523856,Slight negative,15.4507204737481,532.565,563.4664409474963,501.66355905250384
2017-06-16,RBLBANK,EQ,514.0,514.0,520.4,513.0,515.35,515.0,517.03,1156394,597890861.95,15282,435971,37.7,6,2017,531.4656567280334,0.1945525291828787,Slight or no change,14.936296967631156,530.5425,560.4150939352623,500.6699060647377
2017-06-19,RBLBANK,EQ,515.0,517.9,518.6,507.05,507.5,509.35,512.67,1041585,533990639.65,19690,541892,52.03,6,2017,530.9204507777928,-1.0970873786407709,Negative,15.252560397658337,528.7675,559.2726207953167,498.2623792046834
2017-06-20,RBLBANK,EQ,509.35,510.0,515.5,508.45,509.5,509.65,511.51,927004,474171365.15,29582,379606,40.95,6,2017,530.4637847583856,0.05889859625012318,Slight or no change,15.822057388342554,528.025,559.6691147766851,496.38088522331486
2017-06-21,RBLBANK,EQ,509.65,510.9,517.85,505.0,511.3,512.2,513.59,1659522,852314343.3,27068,652298,39.31,6,2017,529.7878029625019,0.5003433729029894,Slight positive,16.19934432558777,527.4175,559.8161886511756,495.0188113488245
2017-06-22,RBLBANK,EQ,512.2,514.8,518.0,509.85,512.4,511.7,516.07,1500000,774106302.95,19900,874722,58.31,6,2017,529.2022758761246,-0.09761811792269316,Slight or no change,15.968607979078199,525.7225000000001,557.6597159581564,493.7852840418437
2017-06-23,RBLBANK,EQ,511.7,514.0,514.0,501.6,506.0,505.85,506.07,1195150,604831538.9,23399,574916,48.1,6,2017,528.6151083213123,-1.1432479968731646,Negative,16.463659142743072,525.1875000000001,558.1148182854863,492.260181714514
2017-06-27,RBLBANK,EQ,505.85,506.0,511.0,492.25,507.55,508.95,502.42,1651637,829814774.8,39112,766106,46.38,6,2017,527.9547389335953,0.6128298902836837,Slight positive,16.421002878214296,525.2275000000002,558.0695057564287,492.3854942435716
2017-06-28,RBLBANK,EQ,508.95,505.75,512.75,502.85,504.95,505.35,506.89,1064791,539734924.05,23810,376128,35.32,6,2017,527.4757360960389,-0.7073386383731117,Slight negative,16.65475591946182,525.0200000000002,558.3295118389238,491.71048816107657
2017-06-29,RBLBANK,EQ,505.35,506.95,514.65,500.0,501.3,501.8,506.65,1797714,910816554.9,38586,732470,40.74,6,2017,526.588882821454,-0.7024834273275937,Slight negative,17.42454786848312,523.7250000000001,558.5740957369663,488.8759042630339
2017-06-30,RBLBANK,EQ,501.8,498.5,509.0,496.25,508.5,507.75,503.69,1665573,838936966.55,25131,635095,38.13,6,2017,526.0047027888335,1.185731367078513,Positive,16.60463850063742,521.6075000000001,554.8167770012749,488.39822299872526
2017-07-03,RBLBANK,EQ,507.75,507.95,519.5,503.75,518.0,517.7,514.84,1681165,865525078.8,25073,551900,32.83,7,2017,525.7526581328609,1.9596258000984743,Positive,15.120159077414662,519.95,550.1903181548294,489.70968184517073
2017-07-04,RBLBANK,EQ,517.7,518.0,527.35,516.0,522.0,521.8,522.86,2341020,1224035310.85,47023,1025267,43.8,7,2017,525.5923850434305,0.7919644581803942,Slight positive,14.134357868981196,518.8925,547.1612157379624,490.62378426203765
2017-07-05,RBLBANK,EQ,521.8,525.3,526.9,520.5,524.0,524.25,523.37,1352844,708040497.8,18312,594034,43.91,7,2017,525.5616501325517,0.4695285550019301,Slight or no change,13.050006049605766,517.965,544.0650120992116,491.8649879007885
2017-07-06,RBLBANK,EQ,524.25,522.0,529.4,521.05,523.15,524.85,526.04,977589,514252170.55,15175,383542,39.23,7,2017,525.5500676029178,0.11444921316166035,Slight or no change,10.910136522857051,516.735,538.5552730457141,494.9147269542859
2017-07-07,RBLBANK,EQ,524.85,512.0,530.0,508.4,527.3,527.0,519.9,4378621,2276435168.85,67213,1438803,32.86,7,2017,525.6485836766736,0.4096408497666015,Slight or no change,9.096376881398019,515.8525000000001,534.0452537627962,497.65974623720405
2017-07-10,RBLBANK,EQ,527.0,530.0,551.0,495.0,532.9,532.6,531.64,264541,140641675.95,3830,141273,53.4,7,2017,525.6770026993776,1.0626185958254375,Positive,8.517512532239298,515.6025000000001,532.6375250644787,498.5674749355215
2017-07-11,RBLBANK,EQ,532.6,532.5,537.9,530.0,530.3,532.05,533.53,895189,477606511.8,13457,318209,35.55,7,2017,525.7639656635863,-0.10326699211417044,Slight or no change,8.88301306160488,515.815,533.5810261232098,498.0489738767903
2017-07-12,RBLBANK,EQ,532.05,533.0,536.0,529.3,533.0,533.75,532.67,616647,328471566.6,9565,203400,32.98,7,2017,525.8383327046432,0.3195188422140838,Slight or no change,9.748118576909324,516.6850000000001,536.1812371538188,497.1887628461814
2017-07-13,RBLBANK,EQ,533.75,534.0,547.0,533.0,546.05,546.35,542.55,2016844,1094245771.7,26227,694888,34.45,7,2017,526.444588866053,2.36065573770492,Positive,11.795622236549404,518.0975000000001,541.6887444730988,494.50625552690127
